Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,inf](TNFα(t) > c(low)) and globally[8,inf](TNFα(t) > c(low)) implies globally[15,inf](d_TNFα(t) < d_c(high))",0.73480237,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,14](d_TNFα(t) < c(low)) implies eventually[15,inf](d_TNFα(t) > c(high))",0.829327,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"d_TNFα(t) > c(high) and eventually[inf,inf](d_TNFα(t) < d_c(low)) and globally[1, inf](SARSCoV2(t)=c(mid) and IL6(t)=c(high))",0.67815536,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
d_TNFα(t) < c(low) implies d_IL1Ra(t)=d_c(low),0.6863006,N/A,N/A,0,1,0
"eventually[1, inf](TNFα(t) < c(high))",0.8289568,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1, inf](d_TNFα(t) > c(mid)) and d_IFNβ(t) < d_c(low) implies d_TNFα(t)=c(mid)",0.7682776,"eventually[1,inf]globally(d_TNFα(t) < d_c(low) implies d_TNFα(t)=d_c(high))
and globally[15,inf](d_TNFα(t) < d_c(low))",0.6420694,0,1,0
"eventually[1,14]globally(IL1Ra(t) < c(mid))",0.49460697,N/A,N/A,0,1,0
IL6(t)=c(high) implies IL12(t) > c(high),0.25071397,"d_TNFα(t) > d_c(high) and SARSCoV2(t)=c(mid) and eventually[9,inf](IFNα(t) < c(mid)) and eventually[1,11](d_IL6(t) < 0)",0.6709708,1,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[15,inf](IL1Ra(t)=c(high))",0.37807477,N/A,N/A,0,1,0
"d_TNFα(t)=c(mid) implies d_TNFα(t) < c(high) and eventually[15,inf](d_TNFα(t) < d_c(high))",0.76219237,"globally[1,14](d_TNFα(t) > d_c(low)) implies eventually[15,inf]globally(d_TNFα(t)=d_c(low))",0.66334945,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[15,inf]globally(d_TNFα(t) < c(mid)) and d_SARSCoV2(t)=0",0.6767206,N/A,N/A,0,1,0
"d_TNFα(t) > d_c(high) and globally[18,20](d_TNFα(t) < d_c(low))",0.7027796,N/A,N/A,0,1,0
