Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[6,18](d_IL6(t) = d_c(high))",0.9466306,N/A,N/A,"globally[6,18](d_IL6(t) > d_c(low))",0.9297484,0,2,0
IL12(t)=c(mid) implies IL1β(t) > c(low),0.47912005,"eventually[6,18](d_IL6(t) > 0)",0.9906291,"eventually[6,18]globally(d_IL6(t) > 0)",1.0,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[6,18](d_IL6(t) = d_c(low))",0.93918467,"eventually[6,18](d_IL6(t) > 0)",0.9906291,N/A,N/A,1,1,0
"d_IL6(t) > d_c(high) and eventually[6,18]globally(d_IL6(t)=d_c(high))",0.90700495,"eventually[6,18](d_IL12(t) < d_c(low))",0.82769346,"eventually[6,18](d_IL6(t) < d_c(high))",0.927904,1,1,0
"globally[6,18](d_IL6(t) > d_c(high))",0.9331834,"eventually[6,18]globally(d_IL6(t) > 0)",1.0,N/A,N/A,1,1,0
"eventually[6,18](d_IL6(t) > c(low))",0.7850491,"eventually[6,inf]globally(d_IL6(t) > 0)",0.9719487,"eventually[6,18](d_IL6(t) > d_c(high))",0.93573886,2,0,0
"globally[6,18](d_IL6(t) < 0)",0.94810635,"eventually[6,18](d_IL6(t) > d_c(low))",0.93140775,"globally[6,18](d_IL6(t) > c(high))",0.7792554,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL6(t) > d_c(high),0.80399346,"globally[6,18](d_IL6(t) > 0)",0.9862821,"globally[6,18](d_IL6(t) > 0)",0.9862821,2,0,0
"eventually[6,18](d_IL6(t) > d_c(low))",0.93140775,N/A,N/A,"eventually[6,18]globally(d_IL6(t)=d_c(low) implies d_IL6(t)=d_c(high))",0.92524976,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[6,18](d_IL6(t) = d_c(high))",0.9466306,"eventually[6,18]globally(d_IFNα(t) = 0)",0.616636,"eventually[6,18]globally(d_IL6(t) > d_c(low)) and IL1β(t)=c(low)",0.8312112,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[6,18]globally(d_IL6(t) > d_c(low))",0.9425375,"globally[6,18](d_IL6(t) > 0)",0.9862821,d_IL6(t) > 0,0.8596605,1,1,0
"globally[6,18](d_IL12(t) = c(low))",0.6800098,d_IL6(t) > d_c(low) and TNFα(t) < c(high),0.6820171,N/A,N/A,1,1,0
"eventually[6,18]globally(d_IL6(t) = d_c(high))",0.96267676,N/A,N/A,N/A,N/A,0,2,0
