S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim
N/A,N/A,N/A,N/A,0.73480237,"globally[1,inf](TNFα(t) > c(low)) and globally[8,inf](TNFα(t) > c(low)) implies globally[15,inf](d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,0.49460697,"eventually[1,14]globally(IL1Ra(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,0.25071397,IL6(t)=c(high) implies IL12(t) > c(high),0.6709708,"d_TNFα(t) > d_c(high) and SARSCoV2(t)=c(mid) and eventually[9,inf](IFNα(t) < c(mid)) and eventually[1,11](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.37807477,"globally[15,inf](IL1Ra(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76219237,"d_TNFα(t)=c(mid) implies d_TNFα(t) < c(high) and eventually[15,inf](d_TNFα(t) < d_c(high))",0.66334945,"globally[1,14](d_TNFα(t) > d_c(low)) implies eventually[15,inf]globally(d_TNFα(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6767206,"eventually[15,inf]globally(d_TNFα(t) < c(mid)) and d_SARSCoV2(t)=0",N/A,N/A,N/A,N/A,N/A,N/A,0.7027796,"d_TNFα(t) > d_c(high) and globally[18,20](d_TNFα(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A
0.829327,"globally[1,14](d_TNFα(t) < c(low)) implies eventually[15,inf](d_TNFα(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67815536,"d_TNFα(t) > c(high) and eventually[inf,inf](d_TNFα(t) < d_c(low)) and globally[1, inf](SARSCoV2(t)=c(mid) and IL6(t)=c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6863006,d_TNFα(t) < c(low) implies d_IL1Ra(t)=d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8289568,"eventually[1, inf](TNFα(t) < c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7682776,"globally[1, inf](d_TNFα(t) > c(mid)) and d_IFNβ(t) < d_c(low) implies d_TNFα(t)=c(mid)",,,0.6420694,"eventually[1,inf]globally(d_TNFα(t) < d_c(low) implies d_TNFα(t)=d_c(high))
and globally[15,inf](d_TNFα(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
