Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low),0.56903005,d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low),0.56903005,"d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low) and eventually[1,∞](d_IL1β(t) > d_c(high) implies d_IL1Ra(t) > d_c(high)) and globally[15,∞](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.6001548,1,0,1
"d_IFNα(t) < d_c(low) implies d_IL8(t) > c(high) and eventually[7,∞](d_IL8(t) > c(high) and d_IL8(t) < d_c(high))",0.489517,"d_IFNα(t) < d_c(low) implies d_IL8(t) > c(high) and eventually[7,∞](d_IL8(t) > c(high) and d_IL8(t) < d_c(high))",0.489517,"d_IFNα(t) < d_c(low) implies d_IL8(t) > c(high) and eventually[7,∞](d_IL8(t) > c(high) and d_IL8(t) < d_c(high))",0.489517,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,∞](d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[15,∞](SARSCoV2(t)=c(high))",0.6093871,"globally[1,∞](d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[15,∞](SARSCoV2(t)=c(high))",0.6093871,"globally[1,∞](d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[15,∞](SARSCoV2(t)=c(high))",0.6093871,0,0,2
"globally[1,∞](d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high) and d_IL1Ra(t) < d_c(high))",0.6816719,"globally[1,∞](d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high) and d_IL1Ra(t) < d_c(high))",0.6816719,"globally[0,∞](d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) implies eventually[1,7]globally(d_IL1β(t)=d_c(low)) and eventually[8,14]globally(d_IL1β(t)=c(mid)) and eventually[15,∞]globally(d_IL1β(t)=d_c(low))",0.692901,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.59834576,"eventually[2,∞]globally(IL1β(t) > c(low)) and eventually[2,∞]globally(IL1Ra(t) > c(low))",0.6792037,"eventually[2,∞]globally(IL1β(t) > c(low)) and eventually[2,∞]globally(IL1Ra(t) > c(low))",0.6792037,2,0,0
"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.59834576,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.59834576,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.59834576,0,0,2
d_IL1β(t)=d_c(high) implies d_IFNα(t) > d_c(low),0.45681193,d_IL1β(t)=d_c(high) implies d_IFNα(t) > d_c(low),0.45681193,d_IL1β(t)=d_c(high) implies d_IFNα(t) > d_c(low),0.45681193,0,0,2
