S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.4744457,"d_MERSCoV(t) = d_c(high) and eventually[2,inf]globally(d_IL6(t) < c(high) and d_SARSCoV(t) > c(low))",0.3257082,"eventually[14,inf]globally(IFNα(t) > c(low)) implies eventually[7,inf]globally(IL8(t) > c(mid))",0.50702786,"d_TNFα(t) < d_c(low) and eventually[6,11](SARSCoV2(t) > c(high) implies TNFα(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.27122286,"eventually[2,inf]globally(d_IL6(t)=d_c(low) and d_IL12(t)=d_c(low)) and IL6(t)=c(mid) and IL1RN(t)=c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.30340225,IL6(t) > c(mid) and IL1β(t) > c(mid),0.39830434,"eventually[2, inf]globally(IL1Ra(t) > c(high) and IL1β(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.24295954,IL6(t) < c(high) and IL12(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39706808,d_MERSCoV(t) = c(high) and d_SARSCoV(t) = c(high),0.2835948,IFNβ(t) > c(low) implies d_TNFα(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.37618434,"globally[2,inf](IL12(t)=c(high) and IL1β(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.40033466,"globally[2,inf](d_IL1Ra(t) > d_c(high) implies d_SARSCoV2(t) < d_c(low))"
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.29155874,IL1Ra(t) < c(high) implies IL6(t) < c(high),0.23287952,IL12(t) < c(high) implies d_IL12(t) = d_c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.24013773,IL6(t)=c(high) implies IL12(t) > c(high),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.34758204,"globally[12,13](IL1RN(t)=c(mid) and IL1β(t) > c(low))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.50909424,"globally[2,inf](d_TNFα(t) = c(high) and d_SARSCoV2(t) = c(high)) and eventually[2,inf](d_TNFα(t) < d_c(low) and d_SARSCoV2(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
