Input Sentence,STL Extraction Success Rate,STL Parsing Success Rate,Number of Translations,Number of Syntactically Correct Translations,Semantic Passes,Semantic Success Rate
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.",0.6527777777777778,0.5319148936170213,72,25.0,24,0.96
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,0.6136363636363636,0.31481481481481477,88,16.999999999999996,17,1.0000000000000002
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,0.6493506493506493,0.52,77,26.0,17,0.6538461538461539
If IL-1β was below its low levels then IL-6 was close to its low levels.,0.582089552238806,0.33333333333333337,67,13.000000000000002,12,0.9230769230769229
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.",0.6835443037974683,0.5,79,27.0,24,0.8888888888888888
If IFN-β was close to its low levels then IL-6 was below its high levels.,0.6162790697674418,0.37735849056603776,86,20.000000000000004,11,0.5499999999999999
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",0.6170212765957447,0.2586206896551724,94,14.999999999999998,8,0.5333333333333334
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,0.6136363636363636,0.35185185185185186,88,19.0,19,1.0
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,0.7164179104477613,0.39583333333333337,67,19.000000000000004,10,0.5263157894736841
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,0.6333333333333333,0.2807017543859649,90,15.999999999999998,12,0.7500000000000001
If the rate of change of IL-12 was increasing then IL-8 was close to its moderate levels.,0.6162790697674418,0.24528301886792447,86,12.999999999999996,12,0.9230769230769234
From day 6 to 18 eventually at every point in that interval the rate of change of IL-6 was increasing.,0.734375,0.6808510638297872,64,32.0,28,0.875
"If from day 7 to 18 eventually at every point in that interval IL-1Ra was close to its moderate levels, then from day 3 onward at every point in that interval IL-6 was below its high levels.",0.7746478873239436,0.2727272727272727,71,14.999999999999998,14,0.9333333333333335
From day 0 to 18 eventually at every point in that interval IL-6 was close to its high levels.,0.6282051282051282,0.5102040816326531,78,25.000000000000004,23,0.9199999999999998
From day 9 to 12 at every point in that interval IFN-α was close to its low levels.,0.6555555555555556,0.576271186440678,90,34.0,25,0.7352941176470589
"If from day 3 to 12 eventually in that interval the rate of change of IL-12 was decreasing, then from day 2 to 16 eventually at every point in that interval IL-8 was below its high levels.",0.6142857142857143,0.4883720930232558,70,21.0,21,1.0
Overall,0.6471981057616416,0.4109756097560976,1267,337.0,277,0.8219584569732937
