S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim
0.24478886,IL8(t)=c(low) implies IL1β(t) < c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39155853,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),,,,,0.109713145,d_IL12(t) > 0 implies IL8(t) = c(mid),,,,,N/A,N/A,N/A,N/A,0.40748814,"eventually[0,inf](IL1β(t)=c(mid)) implies globally[0,inf](IFNβ(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.4692793,d_IFNα(t) < d_c(high) and d_IFNβ(t) < d_c(high) and d_SARSCoV2(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2949248,IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35714638,IFNα(t) > c(low) implies d_IFNα(t) < 0 and IFNβ(t) > c(low) implies d_IFNβ(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.3454908,d_IL6(t) > c(low) and d_IL12(t) > c(mid) and d_IL1β(t) > c(low) and d_IL1Ra(t) > c(mid) and d_TNFα(t) > c(low) and d_IL8(t) > c(low) and d_IFNα(t) > c(mid) and d_IFNβ(t) > c(low) and d_SARSCoV2(t) > c(low) and d_IL1RN(t) > c(low),,,0.22102812,"globally[7,13](d_IL12(t) < d_c(low)) implies eventually[11,18]globally(d_IL1Ra(t)=d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49589053,"eventually[14,inf]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",,,,,0.32407075,"eventually[1,inf]globally(d_IL6(t)=0 and d_IL1β(t)=0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.46860188,"globally[1,inf](d_IFNα(t) > 0)",0.43452764,"IL6(t) < c(low) and IL1Ra(t)=c(low) and globally[0,inf](d_IFNβ(t) > d_c(low)) implies eventually[7,inf](IL8(t)=c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48249933,d_IFNα(t)=0 and IL1β(t) > c(mid),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39155853,d_IFNα(t) > d_c(low) implies IL6(t)=c(mid),,,,,0.40020356,"d_IFNα(t)=d_c(low) implies d_IL8(t)=0 and eventually[1,inf]globally(d_TNFα(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44926164,d_IL1Ra(t)=d_c(high) and d_IFNβ(t)=d_c(low) and d_SARSCoV2(t)=c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40748814,"eventually[0,inf](IL1β(t)=c(mid)) implies globally[0,inf](IFNβ(t) < c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4692793,d_IFNα(t) < d_c(high) and d_IFNβ(t) < d_c(high) and d_SARSCoV2(t) > d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.2949248,IL1RN(t)=c(low) and d_IL1β(t) < d_c(low),,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35714638,IFNα(t) > c(low) implies d_IFNα(t) < 0 and IFNβ(t) > c(low) implies d_IFNβ(t) < 0,,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
