Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[20,inf](d_SARSCoV2(t) = c(low))",0.981466,"IL8(t) < c(mid) and globally[6,15](d_IL1β(t) > d_c(high)) and IL1β(t) > c(mid)",0.36124614,N/A,N/A,0,2,0
IL1RN(t)=c(low) implies IL1Ra(t) > c(mid),0.40410298,d_SARSCoV2(t) > c(low),0.84594524,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[20,inf](d_SARSCoV2(t) > c(low))",1.0000001,"eventually[20,inf]globally(d_SARSCoV2(t) > c(low))",0.9850648,N/A,N/A,0,2,0
"globally[20,inf](IL1Ra(t)=c(high))",0.6253656,N/A,N/A,N/A,N/A,0,2,0
IL6(t) < c(low) and d_IL1β(t) > d_c(low),0.33630052,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000001,SARSCoV2(t) = c(high) and IL8(t) > c(high),0.71441144,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000001,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[20,inf](d_SARSCoV2(t)=c(high))",0.9598811,"globally[20, inf](SARSCoV2(t) > c(low))",1.0000001,N/A,N/A,1,1,0
"globally[20,inf](SARSCoV2(t) > c(low)) implies eventually[1,inf](d_SARSCoV2(t) > d_c(low))",0.7560059,N/A,N/A,N/A,N/A,0,2,0
"globally[20,inf](IL12(t)=c(low))",0.65840197,"globally[20,inf](SARSCoV2(t) > c(low))",1.0000001,SARSCoV2(t) > c(low),0.84594524,2,0,0
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000001,"globally[20, inf](SARSCoV2(t) > c(low))",1.0000001,IL1β(t)=c(low) and TNFα(t) < c(low),0.31325686,0,1,1
"eventually[20, inf]globally(SARSCoV2(t) > c(low))",0.9850648,N/A,N/A,N/A,N/A,0,2,0
IL1Ra(t) < c(high) and TNFα(t) > c(mid),0.2815776,N/A,N/A,"globally[20,inf](IL8(t) > c(low))",0.6573808,1,1,0
"eventually[9, inf](d_IL8(t)=d_c(low)) and IL1RN(t)=c(mid)",0.3844684,N/A,N/A,N/A,N/A,0,2,0
"globally[20,inf](SARSCoV2(t) > c(low))",1.0000001,"eventually[20, inf]globally(d_SARSCoV2(t) > c(low))",0.9850648,N/A,N/A,0,2,0
