Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.32848936,0
N/A,N/A,0
"eventually[14,∞]globally(IL1RN(t)=c(low) implies IL6(t) > c(high))",0.42818916,0
N/A,N/A,0
SARSCoV2(t) < c(mid) and IL1Ra(t) > c(high) and IL12(t)=c(low) and d_IL12(t) < d_c(low),0.61524546,0
"IL8(t) < c(low) and globally[6,15](d_IFNβ(t) > d_c(high)) and IL1β(t) > c(mid)",0.3605147,0
N/A,N/A,0
