Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,∞](d_IFNβ(t) > d_c(low))",0.48640656,"globally[1,∞](d_IFNβ(t) > d_c(low))",0.48640656,"globally[1,∞](IFNβ(t) < c(high)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[8,∞](IFNβ(t) > c(low))",0.5526156,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IFNβ(t)=c(low) implies d_IFNβ(t) < d_c(high) and IFNβ(t)=c(mid) implies d_IFNβ(t) = c(high),0.4854672,IFNβ(t)=c(low) implies d_IFNβ(t) < d_c(high) and IFNβ(t)=c(mid) implies d_IFNβ(t) = c(high),0.4854672,IFNβ(t)=c(low) implies d_IFNβ(t) < d_c(high) and IFNβ(t)=c(mid) implies d_IFNβ(t) = c(high),0.4854672,0,0,2
"eventually[6,∞](IFNβ(t) > c(high))",0.57913005,"eventually[6,∞](IFNβ(t) > c(high))",0.57913005,"eventually[6,∞](IFNβ(t) > c(high))",0.57913005,0,0,2
"globally[1,∞](SARSCoV2(t) < c(high) implies d_IFNα(t) = 0)",0.42425704,"globally[1,7](IFNα(t) = c(low)) and eventually[8,∞](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) > c(mid))",0.527867,"globally[1,7](IFNα(t) = c(low)) and eventually[8,∞](IL1β(t) > c(mid)) and eventually[15,∞](IL1β(t) > c(mid))",0.527867,2,0,0
"eventually[14,∞]globally(d_IL8(t) > c(mid))",0.27860153,"eventually[14,∞]globally(d_IL8(t) > c(mid))",0.27860153,"globally[0,8](IL1Ra(t) > c(low)) implies eventually[1,∞](IFNα(t) > c(high))",0.3718188,1,0,1
"eventually[15,∞]globally(IL12(t) > c(mid) and d_IL12(t)=d_c(low))",0.2457114,"globally[1,∞](IFNα(t)=c(low) and IL6(t)=c(mid)) and eventually[7,14]globally(IL12(t) < c(low) and IL1β(t)=c(low)) and globally[1,∞](IL8(t)=c(high) and d_IL1RN(t) < d_c(low))",0.43281966,"globally[1,∞](IFNα(t)=c(low) and IL6(t)=c(mid)) and eventually[7,14]globally(IL12(t) < c(low) and IL1β(t)=c(low)) and globally[1,∞](IL8(t)=c(high) and d_IL1RN(t) < d_c(low))",0.43281966,2,0,0
"globally[8,∞](d_IFNβ(t) > c(low)) implies eventually[15,∞](IFNα(t) > c(high))",0.47510386,"globally[8,∞](d_IFNβ(t) > c(low)) implies eventually[15,∞](IFNα(t) > c(high))",0.47510386,"globally[8,∞](d_IFNβ(t) > c(low)) implies eventually[15,∞](IFNα(t) > c(high))",0.47510386,0,0,2
IFNβ(t)=c(low) implies d_IFNα(t) > d_c(low),0.4186231,IFNβ(t)=c(low) implies d_IFNα(t) > d_c(low),0.4186231,"globally[1,∞](IFNβ(t) = c(mid))",0.57852566,1,0,1
IFNα(t) < c(high) implies d_IFNα(t) < d_c(high),0.34852806,IFNα(t) < c(high) implies d_IFNα(t) < d_c(high),0.34852806,"eventually[7,∞](IFNβ(t)=c(mid))",0.5855873,1,0,1
IL1β(t) = c(low) implies IL1β(t) > c(high),0.3299827,IFNα(t) > c(mid) implies d_IFNα(t) = d_c(low),0.3822441,"globally[1,∞](IFNα(t) > c(low) and d_IL8(t) < c(mid)) and d_IL1β(t) > d_c(low) and d_IL1Ra(t)=0 and d_IL1β(t) > c(low) and d_IL1β(t) > c(mid)",0.4704308,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,7](IFNα(t) = c(low)) and eventually[8,∞]globally(IFNα(t) > c(mid)) implies globally[1,7](IFNα(t) < c(high))",0.4481906,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.5499263,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.5499263,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[1,∞]globally(d_IL12(t) > d_c(high))",0.18944877,"globally[7,16](d_IFNβ(t) < d_c(low) implies SARSCoV2(t)=c(high))",0.49714676,"globally[7,16](d_IFNβ(t) < d_c(low) implies SARSCoV2(t)=c(high))",0.49714676,2,0,0
IFNβ(t)=c(low) implies d_IFNα(t) > d_c(low),0.4186231,IFNβ(t)=c(low) implies d_IFNα(t) > d_c(low),0.4186231,IFNβ(t)=c(low) implies d_IFNα(t) > d_c(low),0.4186231,0,0,2
IL1β(t)=c(low) and TNFα(t) < c(low),0.3686677,IL1β(t)=c(low) and TNFα(t) < c(low),0.3686677,IL1β(t)=c(low) and TNFα(t) < c(low),0.3686677,0,0,2
"globally[1,∞](d_IFNβ(t) = d_c(low))",0.489059,"globally[1,∞](d_IFNβ(t) = d_c(low))",0.489059,"globally[1,∞](d_IFNβ(t) = d_c(low))",0.489059,0,0,2
"IL6(t) < c(low) and globally[1,7](d_IL6(t)=0) and IL12(t) < c(low) and globally[1,7](d_IL12(t)=0) and IL1β(t) < c(low) and globally[1,7](d_IL1β(t)=0) and eventually[8,14](d_IL1β(t) > d_c(low)) and eventually[8,15](d_IL1β(t) > d_c(high)) and IL8(t) < c(low) and globally[6,15](d_IL8(t)=0) and IL1Ra(t) < c(low) and globally[6,14](d_IL1Ra(t)=0) and SARSCoV2(t) < c(low) and globally[6,14](d_SARSCoV2(t)=0) and IL1RN(t) < c(low) and globally[6,14](d_IL1RN(t)=0)",0.3610453,"eventually[8,14]globally(d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",0.44700333,"eventually[8,14]globally(d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",0.44700333,2,0,0
"globally[1,7](d_IFNβ(t) = 0) and d_IFNβ(t) > 0 and eventually[8,∞](d_IFNβ(t) < c(high))",0.5414805,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.5499263,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.5499263,2,0,0
"eventually[1,17]globally(d_IL6(t) > d_c(high) and IL6(t) < c(high))",0.32471952,"eventually[1,17]globally(d_IL6(t) > d_c(high) and IL6(t) < c(high))",0.32471952,"eventually[1,17]globally(d_IL6(t) > d_c(high) and IL6(t) < c(high))",0.32471952,0,0,2
IL6(t)=c(low) and IL12(t)=c(low) and IL1β(t)=c(low) and IL1Ra(t)=c(low) and TNFα(t)=c(low) and IL8(t)=c(low) and IFNα(t)=c(low) and IFNβ(t)=c(low) and SARSCoV2(t)=c(low) and IL1RN(t)=c(low),0.45250538,"globally[1,∞](d_IFNβ(t) = c(mid))",0.57852566,"globally[1,∞](d_IFNβ(t) = c(mid))",0.57852566,2,0,0
