Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL6(t) > c(high) and d_IFNα(t) < d_c(low),0.8242436,d_IL1Ra(t) < 0 implies SARSCoV2(t) > c(low),0.35823095,"eventually[10, inf](IL6(t) > c(high) implies IL1β(t) = c(mid))",0.71622956,0,2,0
"eventually[10,inf](IL6(t) > c(high) implies d_IFNα(t) < d_c(low))",0.82717204,IL8(t) > c(mid) implies IL1Ra(t)=c(high),0.4552005,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[10,inf](d_IL6(t) > 0) and eventually[0,10](d_IFNα(t) < 0)",0.80574906,"IL1Ra(t) > c(low) and eventually[10, inf] globally(IL6(t)=c(high) implies IL1RN(t) > c(low))",0.6174169,d_IL6(t) > c(high) implies d_IFNα(t) < c(high),0.8087717,1,1,0
"globally[10,inf](d_IL6(t) > d_c(high)) and d_IFNα(t)=d_c(low)",0.7974758,IL6(t) = c(high) and d_IFNα(t) = d_c(low),0.8380813,"eventually[10,inf]globally(IL6(t) > c(high) and IFNα(t) < c(low))",0.8418559,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[10,inf](d_IL6(t) > d_c(high) implies d_IFNα(t) < d_c(low))",0.7636882,N/A,N/A,N/A,N/A,0,2,0
d_IFNα(t) > c(low) implies d_IL1β(t) = d_c(high),0.6426984,d_IL6(t) > 0 and IL12(t) < c(low),0.5557927,"d_IFNα(t) < d_c(low) implies IL12(t)=c(high) and eventually[10,inf]globally(d_IL1β(t) > 0)",0.664824,1,1,0
"eventually[4,8]globally(d_IFNα(t) < 0) and d_IL6(t) > 0",0.8125473,N/A,N/A,N/A,N/A,0,2,0
d_IL6(t) > d_c(high) and d_IFNα(t) = d_c(low),0.77528304,"IL6(t)=c(high) implies d_IL6(t) < d_c(low) and globally[10,inf](IFNα(t) < c(mid))",0.78097343,"globally[10,inf](d_IL6(t) > d_c(low)) implies eventually[10,inf](d_IFNα(t)=c(low))",0.7883791,2,0,0
"eventually[10,inf]globally(d_IL6(t) > d_c(low)) and d_IFNα(t) < d_c(low)",0.79712605,IL6(t) > c(high) implies d_IFNα(t) < d_c(low),0.7888562,IL6(t) > c(high) and d_IFNα(t)=d_c(low),0.83582187,1,1,0
"globally[10,inf](d_IL6(t) > c(low))",0.6027456,N/A,N/A,N/A,N/A,0,2,0
d_IL6(t)=c(high) implies d_IFNα(t) < d_c(low),0.7920729,N/A,N/A,N/A,N/A,0,2,0
"globally[14,inf](d_IL1Ra(t) > d_c(high))",0.4729524,N/A,N/A,N/A,N/A,0,2,0
"d_IL6(t) > d_c(low) and eventually[10,inf]globally(d_IFNα(t) < 0)",0.8028662,IL6(t) > c(high) and d_IFNα(t) > c(mid) and d_TNFα(t) < 0 and IL12(t) > c(high) and d_IL8(t) < 0 and IL8(t) > c(high) and d_SARSCoV2(t) = c(mid) and IL8(t) > c(high),0.6881867,N/A,N/A,0,2,0
"globally[10, inf](IL6(t) > c(high)) implies eventually[10, inf](d_IFNα(t) < d_c(low))",0.7757752,"globally[12,13](IL1RN(t)=c(mid)) and IFNα(t) > c(mid)",0.7180285,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL6(t)=c(mid) implies IFNα(t) < c(low),0.8015561,N/A,N/A,"globally[10,inf](d_IL6(t) = c(high) implies d_IFNα(t) < d_c(low))",0.805442,1,1,0
