Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[6,∞](d_IL1β(t) < 0)",0.64359397,"globally[6,∞](d_IL1β(t) < 0)",0.64359397,"globally[6,∞](d_IL1β(t) < 0)",0.64359397,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
d_IL6(t)=c(high) and d_IL6(t) > d_c(low),0.6564056,d_IL6(t)=c(high) and d_IL6(t) > d_c(low),0.6564056,"eventually[0, ∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",0.6960893,1,0,1
IL6(t) < c(mid) implies d_IL6(t) < d_c(high),0.6671919,IL6(t) < c(mid) implies d_IL6(t) < d_c(high),0.6671919,IL6(t) < c(mid) implies d_IL6(t) < d_c(high),0.6671919,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
d_IL6(t) > c(high) implies d_IL6(t)=c(low),0.67298245,"eventually[1,2]globally(d_IL6(t) > c(high)) and d_IL6(t)=0",0.7236135,"eventually[1,2]globally(d_IL6(t) > c(high)) and d_IL6(t)=0",0.7236135,2,0,0
"globally[1,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.6959634,"globally[1,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.6959634,"globally[1,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.6959634,0,0,2
"globally[1, ∞](IL6(t) > c(high) implies d_IL6(t) < 0)",0.69292676,"globally[1, ∞](IL6(t) > c(high) implies d_IL6(t) < 0)",0.69292676,"globally[1, ∞](IL6(t) > c(high) implies d_IL6(t) < 0)",0.69292676,0,0,2
"eventually[1,∞]globally(d_IL6(t) > 0)",0.6601397,"eventually[1,∞]globally(d_IL6(t) > 0)",0.6601397,"eventually[1, ∞]globally(d_IL6(t) = d_c(low) and IL6(t) > c(mid))",0.74162674,1,0,1
"globally[1,∞](d_IL6(t) < d_c(high))",0.62820053,"globally[1,∞](d_IL6(t) < d_c(high))",0.62820053,IL6(t) = c(high) and d_IL6(t) < 0,0.7175914,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(high)) and IL6(t) = c(high)",0.76192737,"globally[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(high)) and IL6(t) = c(high)",0.76192737,"globally[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(high)) and IL6(t) = c(high)",0.76192737,0,0,2
"eventually[1,∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",0.7038625,"eventually[1,∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",0.7038625,"eventually[1,∞]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",0.7038625,0,0,2
