S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim
0.7253518,"eventually[15,∞]globally(d_IL6(t) < d_c(low) and d_IL6(t) = d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,IL6(t)=c(high) implies d_IL6(t) > 0,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"globally[1,7](IL6(t) < c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",N/A,N/A,0.7253518,"globally[6,∞](d_IL1β(t) < 0)",0.7253518,"globally[1,∞](IL6(t) < c(high))",N/A,N/A,N/A,N/A,0.7253518,"d_IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < d_c(low))",N/A,N/A,0.7253518,"globally[0,∞](d_IL6(t) < c(low))",N/A,N/A,N/A,N/A,0.7253518,IL6(t) < c(high) and d_IL6(t) < d_c(high),N/A,N/A,N/A,N/A,0.7253518,IL1β(t) > c(high) and SARSCoV2(t) < c(low),N/A,N/A,0.7253518,"globally[19, ∞](IL6(t) = c(mid))"
N/A,N/A,0.7253518,IL6(t) < c(low) and IL6(t)=c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7253518,"globally[1,7](IL1Ra(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"eventually[1,∞]globally(d_IL6(t)=d_c(low)) and d_IL6(t) < c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7253518,"eventually[1,∞]globally(d_IL6(t) > c(high)) and eventually[1,∞]globally(d_IL6(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"globally[1,∞](IL6(t) = c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"eventually[14,∞]globally(d_IL12(t)=0) and d_IL8(t) > d_c(low) and IL8(t) > c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,"globally[1,∞](d_IL6(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7253518,"globally[1,7](IL6(t) < c(high)) and eventually[7,∞]globally(IL6(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,"globally[6,∞](d_IL1β(t) < 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7253518,"globally[1,∞](IL6(t) < c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7253518,"d_IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,"globally[0,∞](d_IL6(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7253518,IL6(t) < c(high) and d_IL6(t) < d_c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7253518,IL1β(t) > c(high) and SARSCoV2(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7253518,"globally[19, ∞](IL6(t) = c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
