S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.6626332,"globally[1,∞](d_IL6(t) = d_c(low)) implies globally[1,∞](d_IL6(t) = c(mid))",0.73843575,"eventually[8,18]globally(d_IL6(t)=d_c(high))
and IL6(t)=c(high)",N/A,N/A,0.71873826,"globally[0,1](IL6(t) = c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6876921,"IL6(t) > c(high) and globally[1,∞](d_IL6(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7118336,d_IL6(t) > 0 and IL6(t) < c(high),N/A,N/A,N/A,N/A,0.6784121,"eventually[1,7](d_IL6(t) = 0 and d_IL6(t) < 0)",0.64630115,"eventually[1,∞]globally(d_IL6(t)=d_c(high))",N/A,N/A,0.61180735,"globally[20,∞](IL1β(t) < c(high))",N/A,N/A,N/A,N/A,0.5434333,"globally[6,∞](IL1Ra(t)=c(low))",0.6239838,d_IL6(t) < d_c(high) implies IL1Ra(t) < c(mid),N/A,N/A,N/A,N/A,N/A,N/A,0.69460416,d_IL6(t) > d_c(high) implies IL1β(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.66517484,"d_IL6(t) = d_c(high) implies IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.72069025,IL6(t) < c(high) and d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65925777,IL6(t) = c(high) and d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.69419277,IL6(t) > c(mid) implies d_IL6(t) = c(low),N/A,N/A
0.67794883,"globally[0, ∞](IL6(t) > c(high)) implies eventually[0, ∞]globally(d_IL6(t) < 0)",N/A,N/A,0.5540314,IL8(t) < c(low) implies d_IL1β(t) = d_c(high),N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68613577,"eventually[1,7]globally(d_IL6(t) < 0)",N/A,N/A,0.67603123,"eventually[19,20]globally(d_IL6(t) < 0)",N/A,N/A,0.71873826,"globally[0,1](IL6(t) = c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6857874,"globally[1,∞](d_IL6(t) < c(high))",N/A,N/A,0.711725,"globally[0,∞](IL6(t) = c(high)) and d_IL6(t) < 0",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.44988742,"globally[7,11](TNFα(t) < c(mid))",N/A,N/A,N/A,N/A,0.7069143,"eventually[0,1]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6420119,IL6(t) = c(high) implies d_IL6(t) < d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.6068255,"eventually[1,∞]globally(d_IL6(t)=0)",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
