,input statement,STL-shot0-S0-F0,STL-shot0-S0-F1,STL-shot0-S0-F2,STL-shot0-S1-F0,STL-shot0-S1-F1,STL-shot0-S1-F2,STL-shot1-S0-F0,STL-shot1-S0-F1,STL-shot1-S0-F2,STL-shot1-S1-F0,STL-shot1-S1-F1,STL-shot1-S1-F2,STL-shot2-S0-F0,STL-shot2-S0-F1,STL-shot2-S0-F2,STL-shot2-S1-F0,STL-shot2-S1-F1,STL-shot2-S1-F2,STL-shot3-S0-F0,STL-shot3-S0-F1,STL-shot3-S0-F2,STL-shot3-S1-F0,STL-shot3-S1-F1,STL-shot3-S1-F2,STL-shot4-S0-F0,STL-shot4-S0-F1,STL-shot4-S0-F2,STL-shot4-S1-F0,STL-shot4-S1-F1,STL-shot4-S1-F2,STL-shot5-S0-F0,STL-shot5-S0-F1,STL-shot5-S0-F2,STL-shot5-S1-F0,STL-shot5-S1-F1,STL-shot5-S1-F2,STL-shot6-S0-F0,STL-shot6-S0-F1,STL-shot6-S0-F2,STL-shot6-S1-F0,STL-shot6-S1-F1,STL-shot6-S1-F2,STL-shot7-S0-F0,STL-shot7-S0-F1,STL-shot7-S0-F2,STL-shot7-S1-F0,STL-shot7-S1-F1,STL-shot7-S1-F2,STL-shot8-S0-F0,STL-shot8-S0-F1,STL-shot8-S0-F2,STL-shot8-S1-F0,STL-shot8-S1-F1,STL-shot8-S1-F2,STL-shot9-S0-F0,STL-shot9-S0-F1,STL-shot9-S0-F2,STL-shot9-S1-F0,STL-shot9-S1-F1,STL-shot9-S1-F2,STL-shot10-S0-F0,STL-shot10-S0-F1,STL-shot10-S0-F2,STL-shot10-S1-F0,STL-shot10-S1-F1,STL-shot10-S1-F2,STL-shot11-S0-F0,STL-shot11-S0-F1,STL-shot11-S0-F2,STL-shot11-S1-F0,STL-shot11-S1-F1,STL-shot11-S1-F2,STL-shot12-S0-F0,STL-shot12-S0-F1,STL-shot12-S0-F2,STL-shot12-S1-F0,STL-shot12-S1-F1,STL-shot12-S1-F2,STL-shot13-S0-F0,STL-shot13-S0-F1,STL-shot13-S0-F2,STL-shot13-S1-F0,STL-shot13-S1-F1,STL-shot13-S1-F2,STL-shot14-S0-F0,STL-shot14-S0-F1,STL-shot14-S0-F2,STL-shot14-S1-F0,STL-shot14-S1-F1,STL-shot14-S1-F2,STL-shot15-S0-F0,STL-shot15-S0-F1,STL-shot15-S0-F2,STL-shot15-S1-F0,STL-shot15-S1-F1,STL-shot15-S1-F2,STL-shot16-S0-F0,STL-shot16-S0-F1,STL-shot16-S0-F2,STL-shot16-S1-F0,STL-shot16-S1-F1,STL-shot16-S1-F2,STL-shot17-S0-F0,STL-shot17-S0-F1,STL-shot17-S0-F2,STL-shot17-S1-F0,STL-shot17-S1-F1,STL-shot17-S1-F2
0,"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",STL could not be parsed,STL could not be parsed,"globally[0,2](IL1β(t) > c(low))","eventually[1,∞]globally(d_IL8(t)=0)",,,IL12(t)=c(mid) implies IL1β(t) > c(low),,,"globally[31, ∞](IL8(t) > c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[0,2]globally(d_SARSCoV2(t) > c(high))",,,"globally[0,7](SARSCoV2(t) = c(low)) and d_SARSCoV2(t) = d_c(low)",,,STL could not be extracted,,,,,,"globally[0,7](IL8(t) > c(low) and d_IL1β(t) < d_c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,d_IL6(t) = d_c(high) and CCL2(t) = c(high),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[7,∞](IL8(t) > c(low) and d_IL1β(t) < d_c(high))",,,"eventually[31,∞]globally(SARSCoV2(t)=c(low))",,,STL could not be parsed,STL could not be parsed,"eventually[20,∞]globally(d_IL6(t) < d_c(low) implies d_IL6(t)=d_c(high))","IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"eventually[2,∞](d_SARSCoV2(t)=c(mid))",,,"globally[0,∞](SARSCoV2(t)=c(high))",,,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,"eventually[0,7](IL1RN(t) = c(low))",,,"globally[0,∞](d_SARSCoV2(t) < c(mid) implies SARSCoV2(t)=c(mid))",,,"globally[0,7](SARSCoV2(t) < c(mid))",,,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
1,This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0,"eventually[17,19]globally(IL1Ra(t)=c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[17,∞]globally(d_IFNα(t) = d_c(low)) and d_IgM(t) = d_c(low)",IL6(t) < c(high) and IFNα(t) > c(low),,,STL could not be parsed,STL could not be parsed,IL12(t) < c(mid) implies d_IFNβ(t)=d_c(low),STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[17,19](d_IL1β(t)=c(mid) implies d_IgM(t)=c(high))",,,"globally[1,∞](IL1β(t) < c(mid)) and IL1RN(t) > c(high)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[17,19](d_IgM(t) > d_c(high)) and eventually[19,∞]globally(d_IgG(t) < c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"globally[6,∞](IL1Ra(t)=c(low))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,d_IL8(t)=0 and d_IL12(t) > d_c(high),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[15,∞]globally(d_IL1β(t) < d_c(high) implies d_IL1β(t)=d_c(low))",,"globally[17,19](d_IL8(t) = d_c(high) implies d_IFNα(t) < d_c(low))
and d_SARSCoV2(t) > 0",,,STL could not be parsed,STL could not be parsed,"globally[5,∞](IL6(t)=c(high) implies d_IL6(t) < d_c(high))",IL1RN(t) < c(high) implies d_IL1β(t) > d_c(high),,,"globally[17,∞](d_IgM(t) = c(mid) implies d_IgG(t) > c(high))",,,"eventually[17,19]globally(d_IL8(t)=c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
2,"Following day 10, IL-6 remains increased whereas IFN-α tapered.",d_IL6(t) > c(low) implies d_IFNα(t) = d_c(low),,,IL6(t)=c(low) implies d_IFNα(t) < d_c(high),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be extracted,,,,,,IL6(t) > c(high) and IFNα(t) < c(low),,,"globally[10, ∞](d_IL6(t) > d_c(high) implies d_IFNα(t) < c(low))",,,STL could not be parsed,STL could not be parsed,"eventually[10,∞](d_IL6(t) > 0 and d_IFNα(t)=c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be extracted,,,,,,STL could not be parsed,"eventually[10,∞]globally(d_IL6(t) > d_c(high) and d_IFNα(t) < d_c(low))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[0,∞](d_IFNα(t) < d_c(high))",,,IL6(t) > c(mid) implies SARSCoV2(t) < c(high),,,"eventually[10,17]globally(IL1RN(t) < c(mid))",,,"eventually[10, ∞]globally(d_IL6(t) > 0)",,,d_IL6(t) > d_c(high) and d_IL12(t) < d_c(low),,,IL8(t) = c(high) implies d_IL12(t) < d_c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"globally[1,∞](d_IFNα(t) = c(mid))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be extracted,,,,,,STL could not be parsed,STL could not be parsed,STL could not be extracted,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"d_IL8(t) > d_c(low) and eventually[18,20]globally(d_IFNα(t) < 0)",,,"globally[20,∞](d_IFNα(t) < d_c(high))",,
3,"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel
i).",STL could not be parsed,"globally[13,∞](d_IL1β(t)=0 and IL1RN(t) < c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,IL8(t) > c(mid) implies IL1Ra(t)=c(high),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[2,∞]globally(IL1Ra(t) > c(low))",,,"globally[2,∞](SARSCoV2(t)=c(high) and IL6(t)=c(high))",,,STL could not be parsed,"globally[13,∞](d_IL1β(t)=0 and IL1RN(t) < c(high))
",,STL could not be parsed,STL could not be extracted,STL could not be extracted,IL6(t) > c(high) and IL12(t) > c(high),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be extracted,,,,,STL could not be parsed,"eventually[2, ∞]globally(IL1Ra(t) < c(high) and IL1β(t) < c(low))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"globally[2,3](d_MERSCoV(t) = c(high) and d_SARSCoV(t) = c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be extracted,,,,,STL could not be parsed,STL could not be parsed,"globally[2,∞](d_MERSCoV(t) > d_c(high) and d_SARSCoV(t) > d_c(low))","globally[2, ∞](d_TNFα(t) > d_c(high)) implies eventually[0,2]globally(d_IL6(t) < d_c(low))",,,"globally[2,∞](d_MERSCoV(t)=d_c(high) and d_SARSCoV(t)=d_c(high))",,,IFNα(t) > c(mid) implies IL1β(t)=c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"globally[15,∞](IL8(t) > c(low) implies d_IL1Ra(t) > d_c(high)) and IL6(t) < c(mid)",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[2,8]globally(d_IFNβ(t)=d_c(low))",,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
4,"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",STL could not be parsed,STL could not be parsed,"IL8(t) < c(mid) and globally[6,15](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),,,STL could not be parsed,"globally[10,17](d_IFNα(t) > 0)",,d_IFNα(t) > c(low),,,"IL1Ra(t) < c(mid) and d_IL1β(t) = d_c(low) and globally[0,∞](d_IL1β(t) < 0)",,,"globally[1,7](IFNα(t) < c(high))",,,d_IL17(t) < d_c(low) implies IL1Ra(t) < c(low),,,IL8(t)=c(high),,,STL could not be parsed,IL1Ra(t)=c(low),,"globally[0,∞](IL1Ra(t) < c(high))",,,STL could not be parsed,STL could not be parsed,d_IFNβ(t) < c(low) and d_IFNβ(t) > d_c(high),"globally[∞,∞](IL8(t) > c(low))",,,STL could not be parsed,"globally[3,∞](d_IFNα(t) < d_c(low)) implies eventually[2,16]globally(IL8(t) < c(high))",,"globally[0,∞](IFNα(t) > c(low)) implies eventually[1,∞](IL1β(t) > c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,IFNα(t) > c(mid) implies IL1β(t)=c(low),,"eventually[4,5]globally(d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,IL6(t)=c(high) implies IL12(t) > c(high),"eventually[0,∞](d_IFNα(t) < d_c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be extracted,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"globally[13,∞](d_IFNα(t) < c(mid))",STL could not be parsed,STL could not be extracted,STL could not be extracted
5,Circulating IL-1α also was not detected (fig. S9F).,STL could not be parsed,IL1α(t) < c(high),,IL1α(t)=c(low) and d_IL1α(t)=0,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,IL1α(t) < c(low),STL could not be parsed,STL could not be extracted,STL could not be extracted,IL1α(t) = c(low),,,d_IL1α(t) < c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,d_IL1α(t) < c(low),,IL1Ra(t)=c(mid),,,d_IL1α(t) > c(mid) implies IL1β(t) = c(low),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,IL1α(t) = c(low),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[4,19](d_IFNα(t)=d_c(low) and IL1Ra(t) > c(mid))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,IL1α(t) = c(low),,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[0,∞](IL1α(t) = c(low))",SARSCoV2(t) < c(mid) and IL1Ra(t) > c(high) and IL12(t)=c(low) and d_IL12(t) < d_c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
6,"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a rolefor the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"globally[15,∞](IL8(t) > c(low) implies d_IL1Ra(t) > d_c(high)) and IL6(t) < c(mid)",,IFNα(t) > c(mid) implies IL1RN(t)=c(mid),,,"eventually[9,∞](d_CCL2(t)=d_c(low)) and CCR2(t)=c(mid)",,,"globally[1,7](IL1Ra(t) < c(high))",,,d_CCL2(t) > 0 implies d_CCR2(t) = c(mid),,,"IL6(t) < c(low) and IL1Ra(t) = c(low)
",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[0,∞]globally(IL1Ra(t)=c(mid))",STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[15,19]globally(IL6(t)=c(mid))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be extracted,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be extracted,,,,,"eventually[16,∞]globally(IL1Ra(t) > c(mid) implies d_CCR2(t) = d_c(low))",,,IFNα(t) > c(mid) implies IL1β(t)=c(low),,,STL could not be parsed,"globally[15,19](IL1β(t) > c(mid))",,IFNα(t) > c(mid) implies IL1β(t)=c(low),,,"eventually[1,∞]globally(d_CCL2(t)=0)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[15,∞](d_CCR2(t)=c(low) implies d_CCL2(t) > d_c(high)) and IL6(t) < c(mid)",,,"eventually[6,∞](d_IL1β(t)=d_c(high) and IL8(t) < c(low))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
7,"Then, in the mild group of patients, IP-10 levels declined from week 2 and returned back to normal on week 4.",d_IFNβ(t) < d_c(low) implies d_IFNβ(t)=d_c(high),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be extracted,,,,,,"eventually[2,4](d_IP10(t)=d_c(high))",,,"globally[2,4](d_IP10(t) < d_c(low)) implies eventually[2,4](IL8(t)=c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,d_IL1Ra(t) < 0 implies SARSCoV2(t) > c(low),,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[2,4](d_IP10(t) < c(low))",,,STL could not be extracted,,,STL could not be parsed,"d_IP10(t)=c(high) implies d_IP10(t)=c(low) and eventually[2,4]globally(d_IP10(t) < d_c(low))",,"globally[2,4](d_IP10(t) < d_c(low)) implies eventually[0,∞](IP10(t)=c(mid))",,,IL6(t)=c(low) implies d_IL6(t) < d_c(high) and d_IP10(t) = d_c(low),,,"IL1β(t) < c(low) and eventually[2,4]globally(d_IL1β(t)=d_c(high))",,,IP10(t) < c(low) implies d_IP10(t)=d_c(low),,,"globally[2,4](IL1Ra(t) < c(low))",,,"eventually[2,4]globally(d_IP10(t) < c(low))",,,"globally[2,∞](IL1Ra(t)=c(low)) and globally[2,4](d_IL1Ra(t)=0)",,,"globally[2,4](d_IP10(t) = d_c(low))",,,IL1Ra(t)=c(mid) and d_SARSCoV2(t) < d_c(high),,,STL could not be parsed,STL could not be parsed,"globally[2,∞](d_IP10(t) < d_c(high))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[20,∞](SARSCoV2(t) > c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[2,4](d_IP10(t)=c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,"eventually[1,4]globally(IL1Ra(t)=c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,"eventually[2,4]globally(d_IP10(t)=d_c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[2,4](d_IP10(t) < c(low))",,,IL1Ra(t) < c(mid) and IFNα(t) > c(high),,
8,"IP-10 level was significantly elevated in COVID-19 patients in week 1 of onset of symptoms in both mild and severe groups when compared with healthy volunteer controls (P = 1.36 × 10–8 and 4.39 × 10–8, respectively).",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be extracted,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,IP10(t) > c(low),,d_IL1RN(t) = d_c(high) implies d_IFNα(t) > d_c(low),,,STL could not be parsed,STL could not be parsed,d_IL6(t) > d_c(low) and TNFα(t) < c(high),"globally[0,∞](IL1β(t) > c(high) and IL8(t) > c(high))
",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[1,∞](IP10(t)=c(high) implies d_IP10(t)=d_c(high))
",,,SARSCoV2(t) < c(low) and SARSCoV2(t) > c(low),,,STL could not be parsed,IP10(t) > c(mid),,"eventually[1,∞]globally(d_IP10(t)=0)",,,STL could not be parsed,STL could not be parsed,"eventually[12,∞]globally(d_IP10(t) > d_c(low) implies d_IL1RN(t) < 0)",IL1β(t)=c(high),,,"globally[1,∞](IP10(t) > c(mid))
",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[1,7](IP10(t) > c(high)) implies eventually[8,∞](d_IP10(t)=0)",IL1β(t)=c(mid) and IL8(t) > c(high),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"IP10(t) > c(high)
and globally[0,∞](d_IP10(t) > 0)",,,IL6(t) < c(low) and IL1Ra(t)=c(low),,,STL could not be parsed,IL1Ra(t) > c(mid),,IL12(t)=c(mid) implies IL1β(t) > c(low),,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,d_IL12(t) < c(high),STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[0,18](d_IL6(t) > d_c(high)) implies eventually[17,∞]globally(d_IL6(t) > -d_c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,"globally[1, ∞](IP10(t) > c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted
9,"Significantly higher levels of MCP-1 in severe cases were observed when compared with mild cases at early an time point of the infection (week 1 and 2; P = 0.047 and 8.62 × 10–5, respectively) but not at later time points (week 3 and 4; P = 0.136 and 0.030, respectively, Supplemental Table 1 and Figure 2).","eventually[1, ∞]globally(d_MCP1(t) > d_c(high))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,"globally[1,2](d_MCP1(t)=c(high)) and globally[3,4](d_MCP1(t)=c(low))",,,"eventually[1,∞]globally(d_MCP1(t)=d_c(low))",,,STL could not be parsed,STL could not be extracted,,,,,"globally[1,2](IL1Ra(t)=c(high)) implies globally[3,4](IL1Ra(t)=c(low))",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"eventually[1, ∞]globally(d_MCP1(t) = d_c(low))","eventually[0,∞]globally(IL1Ra(t) > c(mid))",,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,"globally[1,∞](d_MCP1(t) > c(high) implies d_MCP1(t)=0)",,,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be parsed,"globally[1,2](d_MCP1(t)=d_c(low)) and eventually[3,4](d_MCP1(t)=d_c(low))",STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,STL could not be extracted,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,STL could not be parsed,"globally[1,2](IL1Ra(t) < c(mid)) and globally[3,4](IL1Ra(t) > c(high))",,STL could not be parsed,STL could not be extracted,STL could not be extracted,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,
