S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
0.5516075,IL6(t)=c(mid) and IL8(t)=c(mid) and TNFα(t)=c(high) and d_IL1Ra(t) < 0,,,,,0.52657294,"IL6(t) > c(mid) and eventually[0,inf]globally(d_TNFα(t) < d_c(high) and IL8(t)=c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46975756,"d_IL6(t) > d_c(high) and d_IL8(t) > d_c(high) implies d_TNFα(t) = c(high) and globally[0,10](d_IL6(t)=d_c(high) and d_IL8(t)=d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5468704,IL6(t)=c(low) and IL8(t)=c(low) and TNFα(t)=c(low),0.4881109,IL6(t)=c(high) and d_IL6(t) < d_c(high) and IL8(t)=c(high) and d_IL8(t) < d_c(high) and TNFα(t)=c(high) and d_TNFα(t) < d_c(high),0.5468704,IL6(t)=c(low) and IL8(t)=c(low) and TNFα(t)=c(low),0.42515838,IL6(t) > c(high) implies d_IL8(t) > d_c(low) and IL8(t) > c(high) implies d_TNFα(t) > d_c(low) and TNFα(t) > c(high) implies d_TNFα(t) > d_c(low),0.46812302,d_IL6(t) = d_c(high) and d_IL8(t) = d_c(high) and d_TNFα(t) = d_c(high),0.42673868,"eventually[2,inf]globally(d_IL6(t)=d_c(low)) and d_IL8(t)=d_c(low) and d_TNFα(t)=d_c(low)",0.5561875,IL6(t) > c(low) and IL8(t) > c(low) and TNFα(t) > c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.55914164,IL6(t) < c(high) and IL8(t) < c(high) and TNFα(t) < c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47682747,"IL6(t) > c(high) and globally[0,inf](d_IL6(t) = d_c(high)) and IL8(t) > c(high) and globally[0,inf](d_IL8(t) = d_c(high)) and TNFα(t) > c(high) and globally[0,inf](d_TNFα(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4760291,IL6(t)=c(high) and IL8(t)=c(high) and TNFα(t)=c(high) implies d_IL6(t) > d_c(low) and d_IL8(t) > d_c(low) and d_TNFα(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.55481344,IL6(t) > c(mid) implies IL8(t) > c(mid) and TNFα(t) > c(mid),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.550159,IL6(t)=c(high) and IL8(t)=c(high) and TNFα(t)=c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55138844,IL6(t)=c(mid) and IL8(t)=c(mid) and TNFα(t)=c(mid),,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.57453835,IL6(t) > c(mid) and IL8(t) = c(mid) and TNFα(t) > c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43652636,d_IL6(t) > d_c(low) and d_IL8(t) > d_c(low) and d_TNFα(t) > d_c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550159,IL6(t)=c(high) and IL8(t)=c(high) and TNFα(t)=c(high),,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49392813,"IL6(t) = c(mid) and globally[0,inf](d_IL6(t) = d_c(high)) and IL8(t) = c(mid) and globally[0,inf](d_IL8(t) = d_c(high)) and TNFα(t) = c(mid) and globally[0,inf](d_TNFα(t) = d_c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.48536646,"IL6(t) > c(high) and globally[6,inf](d_IL6(t) > 0) and IL8(t) > c(high) and globally[6,inf](d_IL8(t) > 0) and TNFα(t) > c(high) and globally[6,inf](d_TNFα(t) > 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
