Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL1Ra(t)=c(mid) and IL1β(t)=c(mid) and d_IFNα(t)=d_c(low) and d_IFNβ(t)=d_c(low) and d_SARSCoV2(t) < d_c(high),0.19429182,IL1Ra(t)=c(mid) and IL1β(t)=c(mid) and d_IFNα(t)=d_c(low) and d_IFNβ(t)=d_c(low) and d_SARSCoV2(t) < d_c(high),0.19429182,0,0,1
"eventually[1, ∞](IFNα(t) = c(mid) and IFNβ(t) = c(mid))",0.19429182,"eventually[1, ∞](IFNα(t) = c(mid) and IFNβ(t) = c(mid))",0.19429182,0,0,1
"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.19429182,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.19429182,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
d_IFNα(t) > d_c(low) implies d_IL1β(t) > d_c(low),0.19429182,d_IFNα(t) > d_c(low) implies d_IL1β(t) > d_c(low),0.19429182,0,0,1
d_IL12(t) > d_c(low) implies SARSCoV2(t) < c(mid),0.19429182,d_IL12(t) > d_c(low) implies SARSCoV2(t) < c(mid),0.19429182,0,0,1
"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.19429182,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.19429182,0,0,1
IL6(t)=c(low) implies d_IL12(t) < d_c(high),0.19429182,IL6(t)=c(low) implies d_IL12(t) < d_c(high),0.19429182,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[0,∞](d_IL1β(t)=c(mid) and d_IL1β(t) < c(high))",0.19429182,"globally[0,∞](d_IL1β(t)=c(mid) and d_IL1β(t) < c(high))",0.19429182,0,0,1
N/A,N/A,N/A,N/A,0,0,0
"globally[14,∞](IL6(t) > c(low)) and d_IL12(t) > d_c(low) and d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low) and d_TNFα(t) > d_c(low) and d_IL8(t) > d_c(low) and d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low) and d_SARSCoV2(t) > d_c(low)",0.19429182,"globally[14,∞](IL6(t) > c(low)) and d_IL12(t) > d_c(low) and d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low) and d_TNFα(t) > d_c(low) and d_IL8(t) > d_c(low) and d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low) and d_SARSCoV2(t) > d_c(low)",0.19429182,0,0,1
N/A,N/A,N/A,N/A,0,0,0
d_IL1β(t) > d_c(high) implies d_IL1RN(t) > 0 and IL1β(t)=c(low) and TNFα(t) > c(mid),0.19429182,d_IL1β(t) > d_c(high) implies d_IL1RN(t) > 0 and IL1β(t)=c(low) and TNFα(t) > c(mid),0.19429182,0,0,1
"globally[7,∞](d_IFNα(t) < c(high) and d_IFNβ(t) < c(high)) implies eventually[15,∞](IL8(t) < c(high))",0.19429182,"globally[7,∞](d_IFNα(t) < c(high) and d_IFNβ(t) < c(high)) implies eventually[15,∞](IL8(t) < c(high))",0.19429182,0,0,1
"eventually[7,17]globally(d_IL6(t) < d_c(low) implies IL6(t) < c(high))",0.19429182,"eventually[7,17]globally(d_IL6(t) < d_c(low) implies IL6(t) < c(high))",0.19429182,0,0,1
