Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"globally[20,∞](d_TNFα(t) < d_c(high))",0.7135427,"globally[20,∞](d_TNFα(t) < d_c(high))",0.7135427,"globally[20,∞](d_TNFα(t) < d_c(high))",0.7135427,0
"eventually[14,∞]globally(TNFα(t) < c(low)) implies eventually[7,∞]globally(TNFα(t) > c(mid))",0.82780266,"eventually[14,∞]globally(TNFα(t) < c(low)) implies eventually[7,∞]globally(TNFα(t) > c(mid))",0.82780266,"eventually[14,∞]globally(TNFα(t) < c(low)) implies eventually[7,∞]globally(TNFα(t) > c(mid))",0.82780266,0
"eventually[1,7]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(low)) and eventually[15,∞](IL1Ra(t) < c(high))",0.42175594,"eventually[1,7]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(low)) and eventually[15,∞](IL1Ra(t) < c(high))",0.42175594,d_TNFα(t) > c(high) and d_TNFα(t) = d_c(low),0.7853801,1
"globally[1,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86921805,"globally[1,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86921805,"globally[1,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86921805,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,14]globally(IL1Ra(t) > c(low)) and eventually[15,∞](IL1Ra(t) < c(high))",0.4284975,"eventually[1,14]globally(IL1Ra(t) > c(low)) and eventually[15,∞](IL1Ra(t) < c(high))",0.4284975,"globally[1,∞](TNFα(t)=c(mid) and d_TNFα(t) < 0)",0.84751105,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,∞](TNFα(t) > c(low)) and globally[15,∞](TNFα(t) < c(high))",0.820186,"globally[1,∞](TNFα(t) > c(low)) and globally[15,∞](TNFα(t) < c(high))",0.820186,"globally[1,∞](TNFα(t) > c(low)) and globally[15,∞](TNFα(t) < c(high))",0.820186,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(d_TNFα(t) > d_c(low)) and eventually[8,14]globally(d_TNFα(t) > d_c(low)) and eventually[15, ∞]globally(d_TNFα(t) < d_c(high))",0.7021807,"globally[0,14](d_TNFα(t) < c(low))",0.8614915,"globally[0,14](d_TNFα(t) < c(low))",0.8614915,2
N/A,N/A,N/A,N/A,N/A,N/A,0
IL1Ra(t) > c(low) and d_TNFα(t) < d_c(high),0.65798616,IL1Ra(t) > c(low) and d_TNFα(t) < d_c(high),0.65798616,"globally[0,14](d_TNFα(t) < c(low)) implies eventually[15,∞](d_TNFα(t) = c(mid))",0.8319485,1
"eventually[1,∞]globally(IL1Ra(t) = c(high) and IL1Ra(t) < c(low))",0.3533451,"eventually[1,∞]globally(IL1Ra(t) = c(high) and IL1Ra(t) < c(low))",0.3533451,"globally[1,14](d_TNFα(t) > c(high)) implies globally[15,∞](d_TNFα(t) < c(low))",0.8154064,1
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,14](d_TNFα(t) < d_TNFα(0))",0.81877327,"globally[1,14](d_TNFα(t) < d_TNFα(0))",0.81877327,"globally[1,14](d_TNFα(t) < d_TNFα(0))",0.81877327,0
