Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[2,4](d_IP10(t) < 0)",0.56170267,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL6(t) < c(high) implies d_IL6(t)=c(low),0.38021165,N/A,N/A,"eventually[2,4](d_IP10(t) < c(low))",0.68806994,1,1,0
"eventually[2,4]globally(d_IP10(t)=d_c(low))",0.53535545,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,4](d_IP10(t) < d_c(low)) implies eventually[2,4](IL6(t) = c(mid))",0.55229676,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[2,4](IP10(t) < c(low)) implies eventually[2,4](IP10(t) = c(mid))",0.6309874,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[2,4](d_IP10(t) > d_c(low))",0.5038481,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL1Ra(t)=c(mid),0.34250844,"eventually[2,4]globally(d_IP10(t) < c(low))",0.6810145,"eventually[2,4]globally(d_IP10(t) > c(low))",0.6675295,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,4](d_IL6(t)=c(mid)) and eventually[2,4]globally(d_IL6(t) < c(low))",0.49159274,"d_IP10(t) > d_c(low) and globally[2,4](d_IP10(t) < 0)",0.49835575,N/A,N/A,1,1,0
"eventually[4,5](d_IFNα(t)=d_c(low)) and eventually[12,15](SARSCoV2(t)=c(high))",0.3827271,d_IFNα(t)=c(low) implies d_IFNα(t) > d_c(low),0.28386915,N/A,N/A,0,2,0
