Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[2,16](IL8(t) < c(high)) implies globally[3,12](d_IL8(t) < d_c(high))",0.90464914,"globally[3,12](d_IL12(t) < d_c(high)) implies globally[2,16](IL8(t) = c(high))",0.948595,N/A,N/A,1,1,0
"globally[3,12](d_IL12(t) < d_c(high)) implies globally[2,16](IL8(t) < c(high))",0.95825994,"globally[2,16](IL8(t) < c(high))",0.80685157,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[3,12](d_IL12(t) < d_c(low)) implies globally[2,16](IL8(t) < c(high))",0.95949364,"globally[2,16](IL8(t) < c(high))",0.80685157,N/A,N/A,0,2,0
"globally[3,12](d_IL12(t) < d_c(low)) implies eventually[2,16]globally(IL8(t) < c(high))",0.969146,"eventually[3,12]globally(IL12(t) < c(high)) and IL8(t) < c(high)",0.884392,N/A,N/A,0,2,0
"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.74648905,IL12(t) < c(high) implies d_IL8(t) < d_c(high),0.8196923,N/A,N/A,1,1,0
"eventually[3,12](d_IL12(t) < d_c(high)) implies globally[2,16](IL8(t) < c(high))",0.9683001,N/A,N/A,"eventually[7,20](IL12(t) > c(low) and SARSCoV2(t) < c(low))
and
globally[3,17](IL8(t) < c(high))",0.7802918,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[3,12]globally(d_IL12(t) < 0)",0.89059854,N/A,N/A,"eventually[3,12](d_IL12(t) < d_c(high)) implies globally[2,16](IL8(t) < c(high))",0.9683001,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL8(t) < c(high) and d_IL12(t) < d_c(high),0.7908544,N/A,N/A,"globally[2,16](IL8(t) < c(high)) and eventually[3,12](d_IL12(t) < d_c(low))",0.9391333,1,1,0
"eventually[3,12]globally(d_IL12(t) < d_c(high) implies IL12(t) < c(high)) and eventually[2,16]globally(IL8(t) < c(high))",0.96732455,N/A,N/A,"eventually[3,12]globally(d_IL12(t) < d_c(high)) and globally[2,16](IL8(t) = c(high))",0.9411531,0,2,0
"globally[3,12](d_IL12(t) < d_c(high)) implies globally[2,16](IL8(t) < c(high))",0.95825994,"eventually[3,12](d_IL12(t) < d_c(low)) and eventually[2,16](IL8(t) < c(high))",0.95360297,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf]globally(d_IL12(t) < d_c(high)) and d_IL8(t) > d_c(low) and IL8(t) > c(mid)",0.9025821,N/A,N/A,N/A,N/A,0,2,0
