Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[0,1](RANTES(t) > c(high)) and eventually[1,inf]globally(RANTES(t) > c(high))",0.44377208,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,4]globally(d_RANTES(t) < c(high)) and d_RANTES(t) > c(low) and RANTES(t) > c(mid)",0.59326464,N/A,N/A,N/A,N/A,0,2,0
"d_RANTES(t) > d_c(high) and globally[1,4](d_RANTES(t)=d_c(high) implies d_RANTES(t)=d_c(high))",0.3733973,"globally[1,inf](RANTES(t) > c(low))
",0.43509632,"eventually[1, inf]globally(d_IL6(t) < d_c(low))",0.13946791,1,1,0
"globally[4,16](IL1RN(t)=c(mid)) implies eventually[0,18]globally(d_IL6(t) > d_c(high))",0.22601923,"eventually[1,inf]globally(RANTES(t)=c(high) and d_RANTES(t) > 0)",0.46302262,d_IL1RN(t)=0 implies d_IL1Ra(t) < d_c(low) and d_TNFα(t) < d_c(high),0.16035005,1,1,0
d_RANTES(t) > d_c(high),0.37562096,N/A,N/A,"eventually[0,18]globally(IL6(t)=c(high))",0.23199959,0,2,0
RANTES(t) > c(low) implies d_RANTES(t) > d_c(low),0.4560364,N/A,N/A,d_RANTES(t) > d_c(low) implies d_IL1β(t) > d_c(high) and IL1β(t)=c(low) and TNFα(t) > c(mid),0.43994644,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1, inf](d_RANTES(t) > c(high)) implies eventually[3,4](d_RANTES(t) > c(high))",0.44948572,N/A,N/A,"eventually[1, inf]globally(IL12(t) > c(high) and d_IL12(t) = d_c(low))",0.17059389,0,2,0
"eventually[1,inf]globally(d_RANTES(t) > d_c(high))",0.34218466,N/A,N/A,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,inf](d_IL6(t) < 0)",0.2017354,0,2,0
"eventually[1,inf]globally(RANTES(t) > c(high))",0.43111908,IL6(t) > c(high) implies IL1β(t) < c(low),0.24189988,d_IL1Ra(t) > c(high) and SARSCoV2(t) > c(high),0.16325264,0,2,0
"d_RANTES(t)=c(high) and d_RANTES(t) > c(low) and eventually[1,inf]globally(d_RANTES(t) > c(low))",0.53091025,"eventually[1,inf]globally(d_IL1Ra(t) < c(low))
",0.21315974,N/A,N/A,0,2,0
RANTES(t)=c(mid) implies RANTES(t) > c(low),0.4958685,IL1Ra(t) > c(high) and d_IL8(t) = d_c(low) and d_IFNα(t) > d_c(low) and IL8(t)=c(mid),0.21833307,IL1Ra(t) > c(mid) implies d_IL1Ra(t) > d_c(low),0.16793631,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"d_RANTES(t) > c(high) and eventually[1,4]globally(RANTES(t)=c(high))",0.5496775,N/A,N/A,N/A,N/A,0,2,0
"eventually[1, inf]globally(IL1Ra(t) > c(low) and d_IL1Ra(t)=d_c(low))",0.17155844,"globally[1,inf](d_IL6(t) > c(mid))",0.29204684,"globally[1,inf](d_RANTES(t) > d_c(low))",0.36375317,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
