S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S2-F0,S2-F0 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39998937,"globally[1,∞](d_TNFα(t) < c(low))",N/A,N/A,0.39998937,"globally[1,7](TNFα(t) < c(mid)) and eventually[7,∞](TNFα(t)=c(low))",0.39998937,"eventually[1,14]globally(d_TNFα(t) > d_c(low)) and d_TNFα(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.39998937,"globally[8,∞](d_TNFα(t) < d_c(high))",0.39998937,"globally[0,∞](TNFα(t) < c(high)) implies eventually[14,∞](TNFα(t) > c(low))",0.39998937,"globally[0,∞](TNFα(t) > c(high)) implies eventually[1,∞]globally(TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.39998937,"eventually[1,∞]globally(d_TNFα(t) > c(high)) and globally[15,∞](d_TNFα(t) < d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"eventually[14,∞]globally(d_TNFα(t) < d_c(low)) and d_TNFα(t) > c(mid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[1,14](d_TNFα(t) < d_c(high)) and globally[15,∞](d_TNFα(t) > d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[1,∞](TNFα(t) > c(low)) and eventually[15,∞]globally(TNFα(t) < c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.39998937,TNFα(t) > c(high) and d_TNFα(t) < c(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.39998937,"globally[1,7](d_TNFα(t)=c(high)) implies globally[8,∞](d_TNFα(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"eventually[1,7]globally(d_TNFα(t) > d_c(low) implies d_TNFα(t)=d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low) implies d_TNFα(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.39998937,"eventually[1,7]globally(d_TNFα(t) > c(high)) and eventually[8,14]globally(d_TNFα(t) = c(high)) implies eventually[15,∞]globally(d_TNFα(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[1,∞](d_TNFα(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[1,7](TNFα(t) < c(mid)) and eventually[7,∞](TNFα(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"eventually[1,14]globally(d_TNFα(t) > d_c(low)) and d_TNFα(t) < d_c(high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.39998937,"globally[8,∞](d_TNFα(t) < d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[0,∞](TNFα(t) < c(high)) implies eventually[14,∞](TNFα(t) > c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39998937,"globally[0,∞](TNFα(t) > c(high)) implies eventually[1,∞]globally(TNFα(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
