S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S22-F1,S22-F1 sim,S22-F2,S22-F2 sim,S22-F3,S22-F3 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S24-F2,S24-F2 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim
0.68680733,IL6(t) > c(high) and IL6(t) < c(low),,,,,,,0.62820053,"globally[1,inf](d_IL6(t) < d_c(high))",,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71607053,"IL6(t) > c(mid) and eventually[0,inf]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",,,,,,,0.71838117,"eventually[1, inf]globally(IL6(t) > c(high) and d_IL6(t) = d_c(low))",,,,,,,0.6543445,"d_IL6(t) = d_c(low) implies IL1RN(t) < c(low) and eventually[0,inf] globally(IL8(t) > c(high) implies IL1RN(t) < c(low))",,,,,,,N/A,N/A,N/A,N/A,0.45553485,"eventually[14,inf]globally(IFNβ(t) < c(low) implies d_IL1Ra(t)=d_c(high))",0.47704363,IL8(t) > c(mid) implies d_IL1Ra(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6416938,IL6(t) > c(high) implies d_IL6(t) < d_c(high),0.68944657,IL6(t) = c(mid) implies d_IL6(t) < 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6697937,"IL6(t) = c(high) and eventually[0,1]globally(d_IL6(t) < d_c(low)) implies globally[11,inf](d_IFNα(t) > 0)",0.7022228,"eventually[7,inf]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73146915,"eventually[1,inf](d_IL6(t) < 0 and IL6(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.64489484,d_IL6(t) = d_c(high) implies d_IL6(t) < c(low),N/A,N/A,N/A,N/A,0.70621705,"globally[1,7](d_IL6(t) = c(high)) and globally[1,7](d_IL6(t) > d_c(low))",0.68133473,"globally[1,inf](IL6(t) = c(high)) and d_IL6(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.65201616,"globally[1,inf](d_IL6(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.6194919,"globally[0,inf](d_IL6(t) < d_c(high))",,,,,0.6492711,"globally[1,7](d_IL6(t) < d_c(high))",,,,,,,0.7525907,"d_IL6(t) < c(high) and eventually[1,7]globally(d_IL6(t)=d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.6068254,"eventually[1,inf]globally(d_IL6(t)=0)",,,0.69089,"d_IL6(t) = 0 and eventually[1,inf](d_IL6(t) < c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
