Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
SARSCoV2(t)=c(mid) and IL8(t) > c(high),0.63305974,SARSCoV2(t)=c(mid) and IL8(t) > c(high),0.63305974,SARSCoV2(t)=c(mid) and IL8(t) > c(high),0.63305974,0,0,2
IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.3006062,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.3006062,IL1Ra(t) < c(high) implies IFNβ(t)=c(mid),0.3006062,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
d_IL6(t) > d_c(high) and d_IL1RN(t)=0 implies d_TNFα(t) < d_c(high),0.2970688,d_IL6(t) > d_c(high) and d_IL1RN(t)=0 implies d_TNFα(t) < d_c(high),0.2970688,d_IL6(t) > d_c(high) and d_IL1RN(t)=0 implies d_TNFα(t) < d_c(high),0.2970688,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[12,17]globally(d_SARSCoV2(t) > d_c(high) and SARSCoV2(t) < c(high))",0.5770887,"eventually[12,17]globally(d_SARSCoV2(t) > d_c(high) and SARSCoV2(t) < c(high))",0.5770887,"eventually[12,17]globally(d_SARSCoV2(t) > d_c(high) and SARSCoV2(t) < c(high))",0.5770887,0,0,2
"eventually[7,16](IFNβ(t)=c(mid))
",0.21774107,"eventually[7,16](IFNβ(t)=c(mid))
",0.21774107,"eventually[7,16](IFNβ(t)=c(mid))
",0.21774107,0,0,2
IL6(t)=c(high) implies IL12(t) > c(high),0.2835679,IL6(t)=c(high) implies IL12(t) > c(high),0.2835679,IL6(t) = c(mid) and IL1RN(t) = c(mid) implies d_IL6(t) < d_c(high) and d_IL1RN(t) < d_c(high),0.28874826,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[10,16](d_IL1Ra(t) > d_c(high) and IL12(t) > c(high)) and d_IL6(t) > d_c(low) and SARSCoV2(t) > c(low)",0.5936073,"eventually[10,16](d_IL1Ra(t) > d_c(high) and IL12(t) > c(high)) and d_IL6(t) > d_c(low) and SARSCoV2(t) > c(low)",0.5936073,"eventually[10,16](d_IL1Ra(t) > d_c(high) and IL12(t) > c(high)) and d_IL6(t) > d_c(low) and SARSCoV2(t) > c(low)",0.5936073,0,0,2
IL1RN(t) = c(low) and d_IL1β(t) < d_c(low),0.44143665,IL1RN(t) = c(low) and d_IL1β(t) < d_c(low),0.44143665,"IL6(t)=c(high) implies d_SARSCoV2(t)=c(low) and globally[14, ∞](SARSCoV2(t)=c(mid) and IL6(t)=c(high))",0.6405301,1,0,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
