S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S6-F0,S6-F0 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S23-F1,S23-F1 sim,S23-F2,S23-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,0.48981822,"IL1β(t) < c(mid) and eventually[1,14]globally(d_IL1β(t)=d_c(high)) and IL1Ra(t) < c(mid) and eventually[15,∞](d_IL1Ra(t)=d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[1,7](IL1β(t)=c(mid) implies d_IL1β(t) < d_c(low)) and globally[1,7](IL1Ra(t)=c(mid) implies d_IL1Ra(t) < d_c(low))",0.48981822,"eventually[1,∞](d_IL1β(t) = c(mid) and d_IL1Ra(t) = c(mid)) and d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[0,1](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high)) and globally[0,1](IL12(t) < c(high)) and eventually[1,∞]globally(IL12(t) < c(high)) and globally[0,1](IL1β(t) > c(low)) and eventually[9,∞]globally(IL1β(t) < c(mid)) and eventually[9,∞]globally(IL1Ra(t) < c(mid)) and eventually[11,∞]globally(IL1Ra(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.48981822,"eventually[1,7]globally(d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",0.48981822,"globally[0,∞](d_IL6(t) > 0 and d_IL12(t) > 0) and eventually[0,14]globally(d_IL6(t) = c(high) and d_IL12(t) = c(high)) and globally[14, ∞](d_IL6(t) < d_c(low) and d_IL12(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48981822,"globally[1,17](d_IL1β(t) < c(high) implies d_IL1Ra(t) = d_c(low))",0.48981822,"eventually[1,∞]globally(d_IL1β(t)=c(low) and d_IL1Ra(t)=c(low))",0.48981822,"globally[3,∞](d_IL1Ra(t) > d_c(low) implies d_TNFα(t) > d_c(high))"
0.48981822,"globally[1,14](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) implies eventually[8,∞](d_IL1β(t) = c(mid) and d_IL1Ra(t) = c(mid))",,,,,0.48981822,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.48981822,IL8(t) > c(low) and d_IFNα(t) > 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48981822,"globally[1,7](d_IL1β(t)=c(mid) implies d_IL1β(t) < d_c(low)) and globally[1,7](d_IL1Ra(t)=c(mid) implies d_IL1Ra(t) < d_c(low))",,,,,0.48981822,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",,,,,0.48981822,IL1β(t) < c(low) implies IL1Ra(t) = c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
